epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3107.77,0.98083,0.98206,1.33089,0.91596,0.84791,0.91658,0.74601,0.69895,0.57352,1.10387,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3203.87,0.96668,0.96917,1.31124,0.89693,0.8358,0.90699,0.7347,0.71074,0.61057,1.12498,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3300.95,0.96315,0.95328,1.31381,0.90391,0.84139,0.90602,0.73911,0.69733,0.60046,1.10776,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3396.64,0.95962,0.95076,1.31169,0.91087,0.84647,0.91541,0.75091,0.68152,0.57906,1.10369,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3492.3,0.95677,0.94754,1.3075,0.91025,0.85311,0.91711,0.74374,0.71726,0.56633,1.10697,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3588.15,0.95996,0.95414,1.31495,0.91267,0.84879,0.91865,0.75603,0.68903,0.56348,1.09465,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3683.94,0.93935,0.92732,1.3,0.90809,0.85705,0.91743,0.76048,0.65985,0.56027,1.08253,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3779.63,0.94806,0.9309,1.30338,0.91421,0.86242,0.92149,0.75159,0.69608,0.54611,1.09732,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3875.26,0.93526,0.91158,1.29469,0.92229,0.85861,0.92146,0.75505,0.68389,0.54135,1.09504,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3971.07,0.94404,0.92209,1.30176,0.91422,0.86518,0.919,0.76155,0.65876,0.53687,1.08181,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4066.94,0.93052,0.90643,1.28803,0.91805,0.86531,0.92403,0.76833,0.65861,0.52957,1.07921,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4162.77,0.92304,0.89576,1.28609,0.9244,0.86178,0.92751,0.77415,0.64123,0.52369,1.07283,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4258.37,0.92538,0.88558,1.28348,0.91739,0.86533,0.92314,0.77228,0.64401,0.52285,1.07123,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4353.93,0.91903,0.88485,1.28102,0.91844,0.86791,0.92716,0.77095,0.64411,0.52435,1.07631,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4449.52,0.9182,0.88716,1.28067,0.92661,0.8544,0.92447,0.77207,0.63318,0.53356,1.06873,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4545.17,0.9067,0.87355,1.27426,0.92695,0.86305,0.92862,0.77969,0.62546,0.50897,1.05827,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4640.53,0.90095,0.85567,1.2709,0.92504,0.86506,0.9267,0.77542,0.62886,0.51105,1.06372,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4735.85,0.90129,0.86578,1.27275,0.92135,0.87183,0.92929,0.777,0.6361,0.50095,1.06475,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4831.2,0.89075,0.85534,1.26645,0.91023,0.87204,0.92804,0.77778,0.63073,0.50829,1.0597,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4926.67,0.90072,0.85137,1.27058,0.92553,0.87814,0.93157,0.78439,0.62304,0.49157,1.05431,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5022.06,0.89984,0.85153,1.26824,0.92067,0.87585,0.93235,0.78397,0.6249,0.4915,1.05771,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5117.65,0.88381,0.84299,1.25742,0.93108,0.87764,0.9343,0.78786,0.62013,0.48391,1.05372,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5213.18,0.88108,0.82761,1.25646,0.92337,0.87417,0.932,0.7868,0.61893,0.49237,1.05174,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5308.66,0.87985,0.8285,1.25169,0.91725,0.88035,0.93093,0.78733,0.61315,0.48976,1.04861,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5404.27,0.88268,0.82175,1.25072,0.92514,0.87865,0.9339,0.7854,0.6221,0.4932,1.0528,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5499.64,0.87651,0.81878,1.25572,0.92106,0.87664,0.93243,0.78721,0.6146,0.49079,1.04913,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5595.13,0.87433,0.82035,1.25561,0.92429,0.8705,0.93407,0.79087,0.61417,0.49321,1.04927,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5690.94,0.86216,0.80123,1.24153,0.92693,0.87449,0.93365,0.78545,0.61591,0.49547,1.05127,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
